b_lam,b_xw,sc_s_key,sc_lam_key,C,power,r_squared
0.1,0.060000000000000005,xw,D,0.3578773668100254,1.0,1.0
0.1,0.060000000000000005,xw,mixed,0.06363374433016038,1.7825690492695403,0.9965867087114356
0.1,0.060000000000000005,xw,beta,0.015196819761038175,2.378731370357433,0.9579301382951529
0.1,0.085,,no,2.4885976858218966,0.0,0.0
0.1,0.085,,D,1.8539313411825051,0.13343805629980346,0.9974791865144851
0.1,0.085,,mixed,0.8172095894905302,0.4420477389749492,0.9692427969090248
0.1,0.085,,beta,0.7073795633686593,0.3059635899802967,0.17255494221648848
0.1,0.085,x,no,2.07199621862695,0.1292139792999369,0.9258010832041844
0.1,0.085,x,D,1.1868074386343594,0.4194720876452951,0.9991225988125285
0.1,0.085,x,mixed,0.402034294882593,0.8798277248430821,0.9919997442636036
0.1,0.085,x,beta,0.12371465944492953,1.3032517458172541,0.8182294389084732
0.1,0.085,w,no,0.7382933267104439,0.7736016858273292,0.9974337749524205
0.1,0.085,w,D,0.8191584792850551,0.6784519331859898,0.9927133449941203
0.1,0.085,w,mixed,0.29564488053520815,1.112265807691276,0.9452410609355224
0.1,0.085,w,beta,0.16255974770918205,1.2901690644931383,0.6868326893035124
0.1,0.085,xw,no,0.6029834507005212,0.9119847490438283,0.9998230570753915
0.1,0.085,xw,D,0.48587057161188696,1.0,1.0
0.1,0.085,xw,mixed,0.11621415332298768,1.6569309877020473,0.9933052205575463
0.1,0.085,xw,beta,0.023147268893698753,2.3711806593593154,0.9619175740335253
0.1,0.11,,no,2.4885976858218966,0.0,0.0
0.1,0.11,,D,1.8539313411825051,0.13343805629980346,0.9974791865144851
0.1,0.11,,mixed,0.8172095894905302,0.4420477389749492,0.9692427969090248
0.1,0.11,,beta,0.7073795633686593,0.3059635899802967,0.17255494221648848
0.1,0.11,x,no,1.994900269710487,0.187404790057993,0.9306225246608613
0.1,0.11,x,D,1.2266926312108521,0.45449319226501467,0.9995100589772299
0.1,0.11,x,mixed,0.41376833726316803,0.9272158917207789,0.9868730430340207
0.1,0.11,x,beta,0.16957595074571902,1.1634320554804736,0.7601127288876713
0.1,0.11,w,no,0.9653560677826897,0.7230622001000397,0.9972666228463906
0.1,0.11,w,D,0.897585142382579,0.7116803774216409,0.9949741944620107
0.1,0.11,w,mixed,0.3543844047257368,1.1142331215405017,0.9827137874866819
0.1,0.11,w,beta,0.13607931770234713,1.5004640721084226,0.809326601016686
0.1,0.11,xw,no,0.7791965691068353,0.8967699247605992,0.9998554199800777
0.1,0.11,xw,D,0.6075442726931792,1.0,1.0
0.1,0.11,xw,mixed,0.1856616612930646,1.548182087365129,0.9904610588947343
0.1,0.11,xw,beta,0.03597721061506381,2.2975180381590743,0.9649477319655734
0.1,0.135,,no,2.4885976858218966,0.0,0.0
0.1,0.135,,D,1.8539313411825051,0.13343805629980346,0.9974791865144851
0.1,0.135,,mixed,0.8172095894905302,0.4420477389749492,0.9692427969090248
0.1,0.135,,beta,0.7073795633686593,0.3059635899802967,0.17255494221648848
0.1,0.135,x,no,1.9180364222838193,0.2487396017733024,0.9373597370674174
0.1,0.135,x,D,1.2639001326674646,0.4899003966796883,0.9997629077230306
0.1,0.135,x,mixed,0.4813510284715238,0.906198200525174,0.9959087849616348
0.1,0.135,x,beta,0.458328130240526,0.8067016047280302,0.9886032004939542
0.1,0.135,w,no,1.1764006475048505,0.6872720443957495,0.9975069909223346
0.1,0.135,w,D,0.9669651658518706,0.7358552838155697,0.9962203374194711
0.1,0.135,w,mixed,0.41159945900094086,1.1094429849527432,0.9927140456943199
0.1,0.135,w,beta,0.14164736937308198,1.5671069943185338,0.8696205919690618
0.1,0.135,xw,no,0.9503097099012299,0.8863550618799041,0.999888942455331
0.1,0.135,xw,D,0.7243762156940897,0.9999999999999999,1.0
0.1,0.135,xw,mixed,0.3050129550607133,1.3927891877281935,0.9974027204287493
0.1,0.135,xw,beta,0.14096201661956836,1.7185593643679347,0.9785573802371667
0.1,0.16000000000000003,,no,2.4885976858218966,0.0,0.0
0.1,0.16000000000000003,,D,1.8539313411825051,0.13343805629980346,0.9974791865144851
0.1,0.16000000000000003,,mixed,0.8172095894905302,0.4420477389749492,0.9692427969090248
0.1,0.16000000000000003,,beta,0.7073795633686593,0.3059635899802967,0.17255494221648848
0.1,0.16000000000000003,x,no,1.8467003554387138,0.310315440587399,0.9448703400922317
0.1,0.16000000000000003,x,D,1.3003345773805548,0.5236275055021585,0.9998930303985273
0.1,0.16000000000000003,x,mixed,0.5370938509780292,0.904589298623686,0.9976645656017173
0.1,0.16000000000000003,x,beta,0.5417835882023107,0.7978941405809389,0.9669408756918463
0.1,0.16000000000000003,w,no,1.3701481067356223,0.6619703345737072,0.9979716644461707
0.1,0.16000000000000003,w,D,1.0304802541493576,0.7549273637409212,0.9970030030761571
0.1,0.16000000000000003,w,mixed,0.4709003800112667,1.0989356773731052,0.9966703922428548
0.1,0.16000000000000003,w,beta,0.1542211715893579,1.5933133127350485,0.9046060308895196
0.1,0.16000000000000003,xw,no,1.1170333883374977,0.8787151473530685,0.9999122393449015
0.1,0.16000000000000003,xw,D,0.8373765459500864,1.0,1.0
0.1,0.16000000000000003,xw,mixed,0.4058933500913561,1.3278128185760811,0.9981133110815014
